Model,xgb_learning_rate,xgb_max_depth,xgb_n_estimators,xgb_subsample,xgb_colsample,xgb_reg_lambda,rf_max_depth,rf_min_samples_leaf,rf_n_estimators,rf_max_features,ann_hidden_layers,ann_activation,ann_alpha,ann_lr_init,CV R² (mean),Test R²,Test MAE,Test RMSE,Params
ANN,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,[64],relu,0.0001,0.0005,-1.260293252,-1.170629078,11.67365675,14.61348748,"{""hidden_layer_sizes"": [64], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.0005}"
ANN,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,[64],relu,0.001,0.0005,-1.260522235,-1.170636067,11.67336267,14.61351101,"{""hidden_layer_sizes"": [64], ""activation"": ""relu"", ""alpha"": 0.001, ""learning_rate_init"": 0.0005}"
ANN,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,"[128, 64]",relu,0.001,0.001,-1.442645059,-1.654319074,13.0260982,16.15986124,"{""hidden_layer_sizes"": [128, 64], ""activation"": ""relu"", ""alpha"": 0.001, ""learning_rate_init"": 0.001}"
ANN,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,"[128, 64]",relu,0.0001,0.001,-1.412501407,-1.664988268,13.05500175,16.19230644,"{""hidden_layer_sizes"": [128, 64], ""activation"": ""relu"", ""alpha"": 0.0001, ""learning_rate_init"": 0.001}"
LinearRegression,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,0.469825494,0.68242063,4.799138931,5.589683332,"{""fixed"": true}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,14,1,674,sqrt,NIL,NIL,NIL,NIL,0.790137266,0.864119252,2.603222291,3.656284891,"{""max_depth"": 14, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""n_estimators"": 674}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,14,1,360,1,NIL,NIL,NIL,NIL,0.730310444,0.850184519,2.686816243,3.839188271,"{""max_depth"": 14, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 360}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,10,1,470,1,NIL,NIL,NIL,NIL,0.733332722,0.845054964,2.710521953,3.904360378,"{""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 470}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,10,1,220,1,NIL,NIL,NIL,NIL,0.735371877,0.842407556,2.676363228,3.937574276,"{""max_depth"": 10, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 220}"
RandomForest,NIL,NIL,NIL,NIL,NIL,NIL,6,1,545,1,NIL,NIL,NIL,NIL,0.718682806,0.827971993,2.934970529,4.113965471,"{""max_depth"": 6, ""max_features"": 1.0, ""min_samples_leaf"": 1, ""n_estimators"": 545}"
